gmt,ERA5 wind speed (m/s),MERRA2 wind speed (m/s),HRRR wind speed (m/s),MERRA2 air density (kg/m^3),ERA5 density-corrected wind speed (m/s),MERRA2 density-corrected wind speed (m/s),HRRR density-corrected wind speed (m/s),ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted)
2021010100,4.880706192002728,4.575228198913854,5.88340928661608,1.2615747058669875,4.928804885558694,4.620316448530017,5.941389482351885,0.07738481775928907,0.08010807594716951,0.07450051063086764,0.06131293689819817,0.06355676137871402,0.05910778808220404,0.14631428873245422,0.15112632585564256,0.14054748304574757
2021010101,4.682202282241471,4.715364624988945,5.691880668382587,1.2651468706781137,4.732803330729585,4.76632406237446,5.753393416514328,0.06670720774882088,0.06934510851047815,0.06449095091474467,0.06842964156102216,0.07112380518576877,0.06614513882276496,0.13108241651138197,0.13586394509985578,0.12635346894286587
2021010102,4.63973245890911,4.540209843116624,6.09677162600974,1.2687190354892397,4.694284365304741,4.593591606951439,6.168454749552561,0.06453630684792433,0.06733195454959606,0.06261871773112433,0.059599687566252335,0.0622216106307123,0.05786609788656243,0.16448869872854566,0.17088439315450543,0.15892248563369005
2021010103,4.559839995199017,4.314497976069016,6.463363137396917,1.272291200300366,4.617778334228379,4.369318944949981,6.545488063955451,0.060556931704747186,0.06342930746670383,0.05898925594403456,0.04915293734643278,0.05159755319197945,0.04798572446854089,0.19876202873859938,0.20698244679914968,0.19249367552320917
2021010104,4.722740085994033,4.1162893947573584,4.517051262533104,1.2739687783738198,4.784849442214999,4.170423240718047,4.576455578846223,0.06881600509247043,0.07211761130816186,0.06706937851659052,0.040790266824029864,0.04300140973282485,0.039991311051527104,0.05848063764835665,0.06137345013539619,0.057077308625918456
2021010105,4.70744364977462,3.974987605125067,5.231319711957443,1.2756463564472738,4.771444369844434,4.029030114802006,5.302442863584913,0.06801603693705616,0.07139771506184633,0.06639987500751708,0.03527164066544053,0.037339329432843904,0.03472557637254483,0.09852139629918799,0.10318429898725068,0.09596139805814312
2021010106,4.717754210408016,3.802975923200184,5.654262778397615,1.2773239345207277,4.783990383823643,3.8563688219206878,5.733647314603685,0.06855468849686375,0.07207135553741306,0.06702636064979414,0.029043713472364452,0.03091923832039889,0.028754891637970965,0.12820939977595724,0.13431770060236037,0.12491546156019513
2021010107,4.474504076848457,3.725095966255396,4.529404563969971,1.279037639016381,4.53935331517585,3.779083990840738,4.595049478133721,0.05645334595578344,0.0595581019328435,0.05538903479754445,0.026401743101260422,0.028221354301170898,0.026245859500088932,0.059076187445585404,0.06229405458985582,0.057933470768565906
2021010108,4.114910481661157,3.767423830753253,4.989411963944024,1.280751343512034,4.176411685251353,3.8237315198411026,5.063983413883806,0.04073464936160498,0.04324934245455481,0.04022188848273597,0.027823816340339036,0.029766605776530675,0.027682943372173526,0.08361758704202504,0.08805729977613375,0.08189328879180438
2021010109,3.803356168314858,3.7552926679542775,5.884919651175005,1.2824650480076871,3.8619218416876886,3.8131182393911596,5.975538112045782,0.029056886067853505,0.03111728447601969,0.02893907456269831,0.027412873957302075,0.02939597359875279,0.02733825544684009,0.1464384484902297,0.15400457445755045,0.1432242542455219
2021010110,3.834109408739894,3.53325557918924,6.542093035306189,1.2856118949374264,3.8963303019366142,3.5905941406628163,6.648259768864941,0.030131007954204314,0.03235696134648958,0.030091974052235303,0.020374966763640145,0.022103869313474966,0.020556598461531718,0.2066385973512208,0.21755692661629045,0.2023279417531501
2021010111,3.6149764864304927,3.2744722458549504,5.367148114202796,1.2887587418671655,3.6766361690693423,3.330324039150707,5.4586941175142085,0.022857859247777057,0.024814356363469514,0.023077351418026647,0.013344869032335005,0.014756213553865472,0.013723278605094888,0.10754036196246908,0.11389129781718488,0.10591890696998194
2021010112,3.709262257076216,2.879866939101899,5.392569980558033,1.2919055887969049,3.775598195914925,2.9313700855217664,5.48900996447433,0.025878289799345033,0.0281022488903222,0.026135091467999645,0.0047051427667632595,0.0057449284494390795,0.005342783457978344,0.10928179267146998,0.11604345024237706,0.10792040872541066
2021010113,2.986047584813796,2.265445593847806,5.983622154638502,1.288445759676738,3.0367339271418246,2.3039001554828156,6.0851905028570705,0.0068623350339862554,0.007920252208089451,0.007365834553523189,0.0,0.0,0.0,0.15469074618165912,0.1634691722204904,0.15202633016505607
2021010114,1.654926352415018,2.3435352384008405,3.6224995574899097,1.2849859305565712,1.6815099164374683,2.381180127527166,3.680688822992452,0.0,0.0,0.0,0.0,0.0,0.0,0.02309275643160369,0.024945436499701934,0.0231992559447228
2021010115,1.2328679170091394,2.089773592212619,1.6987349609408873,1.2815261014364043,1.251546548469252,2.121434819036259,1.7244717360212207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021010116,0.2783230198241416,1.395283689063991,1.8340999632870003,1.2760183553980884,0.2821344196935293,1.414390926667325,1.859216421009157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021010117,0.5558903891020509,0.7637591385633655,1.2741833131718343,1.2705106093597724,0.5626909124132637,0.7731026385190708,1.289771122376416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021010118,1.6427603010450793,1.1650066923926696,1.1903701425628466,1.2650028633214565,1.6604507770507466,1.1775523589303276,1.203188941770177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021010119,1.787537289629885,1.2550567950219458,1.4708652372175235,1.2648691310328295,1.8067231613248205,1.2685274838734963,1.486652226325672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021010120,2.149658004490514,1.350288158710861,2.338936550606872,1.2647353987442027,2.1726539895796075,1.3647328779633332,2.363957344579558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021010121,3.5798290465239377,1.4207664265877975,1.673789416167477,1.2646016664555757,3.617996768178104,1.4359144732684743,1.691635164585548,0.02177453765621884,0.022952035534769877,0.021345393047335983,0.0,0.0,0.0,0.0,0.0,0.0
2021010122,2.691784638895345,1.6752648106645134,2.3701546066729344,1.264807844245006,2.720631973337608,1.6932182990581564,2.3955550943756294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021010123,2.7238939788416388,2.7299774335464964,2.3830863309405608,1.265014022034436,2.7532350092773705,2.7593839932689903,2.4087562759201515,0.0,0.0021211323140564176,0.0019726530520724683,0.0,0.002249895562900228,0.002092402873497212,0.0,0.0,0.0
2021010200,3.182518792455425,3.055440541704655,3.3899052506418608,1.2652201998238664,3.216974755625879,3.0885206752844043,3.4266065108965815,0.011141585525218822,0.011950202829025258,0.01111368863099349,0.008317595607394423,0.009030756563782383,0.008398603604317616,0.01632529991163789,0.01732501862398461,0.016112267320305688
2021010201,2.439546366255019,3.032905210892093,2.417171201046898,1.2656482706125516,2.466236516550016,3.0660870749586713,2.4436165531570597,0.0,0.0,0.0,0.00783942038012242,0.008545603160235338,0.007947410939018863,0.0,0.0,0.0
2021010202,2.774021908438132,2.205638375517126,1.7795307454000882,1.2660763414012368,2.804687560194707,2.230020785085992,1.7992027133692532,0.00255438056101287,0.003184571063190589,0.0029616510887672475,0.0,0.0,0.0,0.0,0.0,0.0
2021010203,3.661209288500469,2.5267133773474453,3.52168770396235,1.266504412189922,3.7020995683250977,2.5549330197920557,3.561019734535493,0.024318185372532497,0.025643021492654405,0.023848009988168595,0.0,0.0,0.0,0.0200337106536983,0.021204363510134883,0.01972005806442544
2021010204,4.758442676855465,2.7213860530038283,5.09209381734944,1.2648406894831887,4.809479616108264,2.750574429139181,5.14670935030304,0.07070334156463876,0.07345092590164715,0.06830936108853185,0.0,0.0020652478756009174,0.001920680524308853,0.08976623209847467,0.09314258234464301,0.08662260158051799
2021010205,5.0642438724493335,2.9870414739371616,3.4882387235315018,1.2631769667764552,5.116315462056816,3.017754844321546,3.5241055063799376,0.08807304458320608,0.09125444534508986,0.08486663417093357,0.00688284699357844,0.007521120531785108,0.00699464209456015,0.01906124074269311,0.020104826851432556,0.018697488971832276
2021010206,5.154081705461561,3.571160685666087,4.563818637146589,1.261513244069722,5.204789951785541,3.606295420825481,4.6087196016356025,0.09360405771888214,0.09681530943344185,0.09003823777310092,0.021510939865505563,0.022588127005010783,0.021006958114660027,0.060751923548348685,0.0629755317900198,0.05856724456471841
2021010207,5.851983471342282,3.885270143744052,4.670358124489,1.2576001476047518,5.903441370851791,3.9194342594841496,4.711425707851167,0.14374535234520103,0.1479662095224752,0.13760857485590192,0.031956134439042216,0.03320143505478512,0.03087733460095016,0.06609785141232383,0.06822379290309577,0.06344812739987907
2021010208,6.298870579324444,3.936383512411366,5.635475945043404,1.253687051139782,6.347660668669219,3.966874137809554,5.679127480885642,0.18289941339528681,0.1875213700922398,0.174394874185783,0.033827112746069865,0.03496579699936664,0.03251819120941097,0.1267890431598877,0.13010407379118494,0.12099678862580199
2021010209,6.798505960468595,4.635814941257123,6.361032490754574,1.249773954674812,6.844030605644869,4.666857619094101,6.403627694580267,0.23360243071953413,0.23860422741192888,0.22190193149309384,0.06433801682730511,0.06591834131351337,0.061304057421567436,0.18880027377382103,0.1929092232472236,0.17940557761991793
2021010210,5.700783274193541,4.784241404551017,7.817569398762797,1.2449948643092363,5.731632737182313,4.8101310535764705,7.8598737289275675,0.13176800714165804,0.1341605497444256,0.12476931126231579,0.07208486995825059,0.07348637746886055,0.06834233104604032,0.3624119341988177,0.3685688843899886,0.34276906248268935
2021010211,5.502200603202297,3.876919346982167,6.875803333011364,1.240215773943661,5.524887945264305,3.8929051318916823,6.904154480746023,0.11698753094943726,0.11862221343451829,0.110318658494102,0.0316549703065121,0.032232593374507346,0.02997631183829183,0.2421342520485119,0.2453114969809036,0.22813969219224034
2021010212,5.8682687681022925,0.9763261110932572,6.2292780903622695,1.2354366835780854,5.884887040649076,0.9790909560671072,6.2469187004239695,0.14507317591168167,0.1464357670640517,0.13618526336956807,0.0,0.0,0.0,0.17642677239289029,0.17805419731754846,0.16559040350532006
2021010213,4.266208582723224,1.6048122503292994,5.24408396003327,1.2342099974864142,4.276873537718755,1.6088240678703707,5.257193473631134,0.04704745074366379,0.04750863402725347,0.04418302964534573,0.0,0.0,0.0,0.09934865264817283,0.1002026349464149,0.09318845050016586
2021010214,2.587579499253789,2.296794437499589,2.5894085899125594,1.2329833113947433,2.593188408062781,2.3017730325752765,2.595021463508995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021010215,2.9364028350676152,3.583650892992062,4.927031713190716,1.231756625303072,2.941791626402685,3.5902274929903477,4.936073642140851,0.0058470176843279376,0.005956470821751658,0.0055395178642290415,0.02189120741788031,0.0220926166802915,0.020546133512671094,0.08000671523460312,0.08052436151546072,0.07488765620937847
2021010216,4.054215154017929,5.197535255728303,4.394606044319885,1.2277280804521515,4.057222507722242,5.20139070649024,4.397865894689021,0.03832107125980411,0.03843907415573522,0.03574833896483375,0.09635189241073672,0.0965980051916322,0.08983614482821793,0.05274489903651691,0.05289372159335226,0.0491911610818176
2021010217,5.651503281412034,6.3264060720817525,9.913904641735709,1.2236995356012308,5.649502687906801,6.32416656760497,9.910395187303825,0.12800016846640716,0.12784860878961268,0.11889920617433979,0.1854993342495188,0.18528705122736788,0.1723169576414521,0.7542692298444154,0.7534528351706502,0.7007111367087047
2021010218,7.814435378417614,7.104968715852081,9.142834684968452,1.2196709907503105,7.8030874245804505,7.094651034138996,9.129557658424424,0.36195850607621605,0.3603197959154292,0.3350974102013491,0.2685682947813497,0.26734077640043186,0.2486269220524016,0.58850754153839,0.5858895525252192,0.5448772838484539
2021010219,8.632906346456966,7.401744669037552,11.243949731900274,1.2243144514208586,8.631295630527427,7.400363661580001,11.241851851045638,0.4932456930051412,0.49296154345926535,0.4584542354171167,0.3054397040208485,0.3052609907337862,0.28389272138242116,1.0,1.0,0.9507718518292778
2021010220,8.888436018939707,7.2718973193171825,11.647897382918282,1.228957912091407,8.897998421218746,7.279720608740766,11.660428482905175,0.539644529503275,0.541432345959783,0.5035320817425981,0.28893134873103765,0.28990922300524335,0.2696155773948763,1.0,1.0,0.9624919975213448
